obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HNSH,3.20,B,P,5.22,C,S
N.AIOH,3.69,B,P,6.06,C,S
N.UUMH,4.53,B,P,7.50,C,S
N.KMGH,5.34,B,P,8.78,C,S
N.SETH,5.86,B,P,9.70,C,S
N.SGUH,6.28,B,P,10.23,C,S
N.KKGH,7.62,B,P,12.72,C,S
N.NKOH,8.23,B,P,13.62,C,S
N.MKIH,8.48,B,P,14.30,C,S
N.OHCH,8.50,B,P,14.41,C,S
N.TAMH,8.63,B,P,14.56,C,S
N.YMSH,8.68,B,P,14.47,C,S
N.OHAH,8.82,B,P,14.82,C,S
N.SYOH,9.27,B,P,15.56,C,S
N.TKBH,9.60,B,P,16.22,C,S
N.AYKH,10.86,B,P,18.37,C,S
N.KAMH,11.73,B,P,19.70,C,S
N.CHZH,11.81,B,P,20.17,C,S
N.TJOH,12.06,B,P,20.27,C,S
N.WKYH,12.84,B,P,21.86,C,S
N.TOKH,22.19,B,P,99.99,*,S
N.KNHH,25.94,B,P,99.99,*,S
